# "Cod.dat" produced by dat_write() from ADMButils; Wed Jan 27 18:50:30 2010
# Adding TotFIC, TotC in thous mt, FIC = both spring and fall surveys 

# Nsp 
 1 

# nFIC 
 2 

# Fyr 
 1978 

# Lyr 
 2007 

# Nage 
 10 

# nMseg 
 1 

# nseg 
 1 

# AgePartRect 
 1 

# AgeFullRect 
 4 

# Survey_AgeFullRect 
 3 

# FICs_lage 
 1 

# M1yr 
 1978 

# TCwt 
 150 

# CPwt 
 50 

# Bwt 
 1e+15 

# Ywt 
 1e-12 

# Rwt 
 0 

# Bthres 
 1e-05 

# Rthres 
 1 

# TSwt 
 0 75 

# SPwt 
 0 50 

# iM2 
 0 0 0 0 0 0 0 0 0 0 

# fic_fage 
 1 1 

# fic_lage 
 10 10 

# FICmonth 
 4 10 

# FICyr 
0.14 0.154 0.31 0.255 0.087 0 0 0 0 0
0.571 0.538 0.071 0.079 0.031 0 0 0 0 0
0.047 0.381 0.459 0.059 0.055 0.008 0.008 0 0 0
0.478 0.707 1.396 1.627 0.118 0.131 0.012 0 0 0
0.166 0.309 0.201 0.156 0.082 0 0.007 0 0 0
0.745 0.136 0.71 0.252 0.322 0.252 0.065 0.02 0 0
0.055 0.579 0.129 0.176 0.026 0 0.007 0 0 0
0.433 0.162 0.514 0.034 0.125 0.015 0.038 0.01 0.01 0
0.115 0.207 0.05 0.13 0.006 0.007 0 0 0 0

# Eof 
 54321 

